path,title,h1,status,owner,audience,source_of_truth,last_reviewed,review_interval_days,line_count,byte_count,risky_terms,broken_local_links,has_front_matter
docs/adr/ADR-030-learner-tutor-safety-boundary.md,ADR-030 — Learner Tutor Safety and Context Boundary,ADR-030 — Learner Tutor Safety and Context Boundary,,,,,,,27,1425,,0,False
docs/adr/ADR-031-durable-ai-operations-budget-authority.md,ADR-031 — Durable AI Operations and Budget Authority,ADR-031 — Durable AI Operations and Budget Authority,,,,,,,25,1474,,0,False
docs/adr/ADR-031-irt-quality-self-healing.md,ADR-031 — IRT Quality and Self-Healing Controls,ADR-031 — IRT Quality and Self-Healing Controls,,,,,,,29,1793,,0,False
docs/adr/ADR-032-curriculum-expansion-training-governance.md,ADR-032 — Governed Curriculum Expansion and Training Dataset Manifests,ADR-032 — Governed Curriculum Expansion and Training Dataset Manifests,,,,,,,28,1423,,0,False
docs/adr/README.md,Architectural Decision Records (ADR),Architectural Decision Records (ADR),,,,,,,25,1203,,0,False
docs/adr/frontend/ADR-001-auth-model.md,ADR-001 — Frontend Auth Model (FastAPI JWT + httpOnly cookie),ADR-001 — Frontend Auth Model (FastAPI JWT + httpOnly cookie),,,,,,,50,2813,,0,False
docs/adr/frontend/ADR-001-rollback.md,ADR-001 Rollback Plan — Supabase Auth Restoration,ADR-001 Rollback Plan — Supabase Auth Restoration,,,,,,,43,2279,,0,False
docs/adr/frontend/ADR-002-state-management.md,ADR-002 — State Management (Zustand + TanStack Query),ADR-002 — State Management (Zustand + TanStack Query),,,,,,,46,2461,,0,False
docs/adr/frontend/ADR-003-popia-frontend.md,ADR-003 — POPIA Frontend Audit Relay,ADR-003 — POPIA Frontend Audit Relay,,,,,,,46,2285,,0,False
docs/adr/frontend/ADR-004-ai-tutor.md,ADR-004 — AI Tutor Proxy & Safety Envelope,ADR-004 — AI Tutor Proxy & Safety Envelope,,,,,,,45,1866,,0,False
docs/adr/frontend/ADR-005-analytics.md,ADR-005 — Analytics & Consent Tiers (Plausible Self-Host),ADR-005 — Analytics & Consent Tiers (Plausible Self-Host),,,,,,,45,2001,,0,False
docs/adr/frontend/ADR-006-rsc-boundaries.md,ADR-006 — RSC Boundaries & Route Component Map,ADR-006 — RSC Boundaries & Route Component Map,,,,,,,47,2467,,0,False
docs/adr/frontend/ADR-007-offline-sync.md,ADR-007 — Offline Sync & Conflict Resolution,ADR-007 — Offline Sync & Conflict Resolution,,,,,,,46,2195,,0,False
docs/adr/frontend/ADR-008-voice-input.md,ADR-008 — Voice Input (Web Speech API en-ZA),ADR-008 — Voice Input (Web Speech API en-ZA),,,,,,,46,1934,,0,False
docs/adr/frontend/ADR-023-frontend-upgrade-react19-next15.md,ADR-023 — Frontend Upgrade (React 19 + Next 15),ADR-023 — Frontend Upgrade (React 19 + Next 15),,,,,,,79,3775,,0,False
docs/adr/frontend/ADR-024-frontend-rollback-plan.md,ADR-024 — Frontend Rollback Plan (React 19 + Next 15),ADR-024 — Frontend Rollback Plan (React 19 + Next 15),,,,,,,123,3930,,0,False
docs/adr/frontend/ADR-025-frontend-upgrade-backlog-metadata.md,ADR-025 — Frontend Upgrade Backlog Metadata,ADR-025 — Frontend Upgrade Backlog Metadata,,,,,,,174,4614,,0,False
docs/adr/frontend/TEMPLATE.md,Architecture Decision Record Template (Frontend),Architecture Decision Record Template (Frontend),,,,,,,39,1053,,0,False
docs/adr/frontend/sign-off.md,Frontend ADR Sign-Off Register,Frontend ADR Sign-Off Register,,,,,,,14,1474,,0,False
docs/ai/CLUSTER_F_CLOSURE.md,Cluster F AI/CAPS/Diagnostics Safety Closure,Cluster F AI/CAPS/Diagnostics Safety Closure,,,,,,,63,1988,,0,False
docs/ai/ai_fixture_coverage_matrix.md,AI Fixture Coverage Matrix,AI Fixture Coverage Matrix,,,,,,,26,1170,,0,False
docs/ai/ai_output_fixtures.md,AI Output Fixtures,AI Output Fixtures,,,,,,,27,681,,0,False
docs/ai/ai_output_schema_contract.md,AI Output Schema Contract,AI Output Schema Contract,,,,,,,50,871,,0,False
docs/ai/ai_prompt_input_contract.md,AI Prompt Input Contract,AI Prompt Input Contract,,,,,,,42,976,,0,False
docs/ai/ai_prompt_secret_leakage_guard.md,AI Prompt Secret Leakage Guard,AI Prompt Secret Leakage Guard,,,,,,,38,731,,0,False
docs/ai/ai_prompt_surface_inventory.md,AI Prompt Surface Inventory,AI Prompt Surface Inventory,,,,,,,331,20869,,0,False
docs/ai/ai_refusal_regression_fixtures.md,AI Refusal Regression Fixtures,AI Refusal Regression Fixtures,,,,,,,29,504,,0,False
docs/ai/ai_safety_boundary_contract.md,AI Safety Boundary Contract,AI Safety Boundary Contract,,,,,,,34,908,,0,False
docs/ai/ai_safety_evidence_index.md,AI Safety Evidence Index,AI Safety Evidence Index,,,,,,,49,1350,,0,False
docs/ai/ai_safety_release_evidence.md,AI Safety Release Evidence,AI Safety Release Evidence,,,,,,,14,381,,0,False
docs/ai/caps_ai_safety_evidence_2026-05-11.md,CAPS And AI Safety Evidence,CAPS And AI Safety Evidence,,,,,,,82,3718,,0,False
docs/ai/caps_alignment_contract.md,CAPS Alignment Contract,CAPS Alignment Contract,,,,,,,38,911,,0,False
docs/ai/diagnostic_generation_safety_contract.md,Diagnostic Generation Safety Contract,Diagnostic Generation Safety Contract,,,,,,,41,1026,,0,False
docs/ai/lesson_generation_safety_contract.md,Lesson Generation Safety Contract,Lesson Generation Safety Contract,,,,,,,43,1171,,0,False
docs/ai/lesson_quality_rubric.md,Lesson Quality Rubric — Human Reviewer Checklist,Lesson Quality Rubric — Human Reviewer Checklist,,,,,,,211,10285,,0,False
